NAME;CODE;IP1;IP2;IP3
KRIŽEVCI - SUPERKONZUM;928690;10.199.63.225;10.199.63.226;10.199.63.227
ZADAR-GAŽENICA;928700;10.199.43.49;10.199.43.50;10.199.43.51
VINKOVCI-VINKOPROM;928740;10.199.42.89;10.199.42.90;10.199.42.91
ST-KBC FIRULE;928750;10.99.12.10;10.99.12.11;10.99.12.12
ZG- MSU;928760;10.199.42.105;10.199.42.106;10.199.42.107
VUKOVAR-CENTAR LOKAL;928780;10.199.42.129;10.199.42.130;10.199.42.131
KOPRIVNICA-BOLNICA;928790;10.199.42.137;10.199.42.138;10.199.42.139
ZADAR - BULEVAR;928830;10.199.42.185;10.199.42.186;10.199.42.187
ZAPREŠI?-PAVLA LON?ARA;928880;10.199.42.225;10.199.42.226;10.199.42.227
ZG-HEINZELOVA-MARTI?EVA;928910;10.199.43.25;10.199.43.26;10.199.43.27
KAUFLAND TROGIR;928920;10.199.43.33;10.199.43.34;10.199.43.35
ZADAR-TRAJEKTNA LUKA II;928930;10.191.7.97;10.191.7.98;10.191.7.99
ZADAR-BOLNICA-PARKING;928940;10.191.0.81;10.191.0.82;10.191.0.83
?AKOVEC - ŠENKOVEC;928960;10.199.43.57;10.199.43.58;10.199.43.59
ST-POLJUD ULTRA;928980;10.100.112.24;10.100.112.25;10.100.112.26
TISAKMEDIA MERIDIJAN;929000;10.99.17.10;10.99.17.11;10.99.17.12
OS-KAUFLAND TISAK;929030;10.199.43.129;10.199.43.130;10.199.43.131
SL.BROD-KAUFLAND;929040;10.199.43.121;10.199.43.122;10.199.43.123
KARLOVAC KAUFLAND;929080;10.191.8.97;10.191.8.98;10.191.8.99
MALINSKA-AUTOB.STANICA;929100;10.191.45.129;10.191.45.130;10.191.45.131
ZG-KAUFLAND-SLOBOŠTINA;929140;10.199.44.1;10.199.44.2;10.199.44.3
SOLIN KONZUM;929170;10.199.44.33;10.199.44.34;10.199.44.35
ST POLJUD ULTRA II;929190;10.100.112.22;10.100.112.23;10.100.112.24
ZG-KAUFLAND-LANIŠTE;929200;10.199.43.137;10.199.43.138;10.199.43.139
KASTAV-NOVA CESTA;929210;10.199.44.65;10.199.44.66;10.199.44.67
PREGRADA;929220;10.191.0.145;10.191.0.146;10.191.0.147
ZABOK-CITYPARK;929230;10.199.44.81;10.199.44.82;10.199.44.83
PULA-CITY MALL;929250;10.199.44.89;10.199.44.90;10.199.44.91
ZG-KAUFLAND-SREDIŠ?E;929260;10.199.44.97;10.199.44.98;10.199.44.99
SL.BROD-HORVATOVA-TRŽNICA;929280;10.199.44.105;10.199.44.106;10.199.44.107
ST - LOVRE?;929300;10.199.44.121;10.199.44.122;10.199.44.123
TISAKMEDIA - ZL - ZAGREB;929410;10.99.15.10;10.99.15.11;10.99.15.12
ZRA?NA LUKA ZAGREB - lokal TIS;929420;10.191.0.161;10.191.0.162;10.191.0.163
ZG-KAPTOL-KIOSK;929430;10.191.106.1;10.191.106.2;10.191.106.3
IVANEC -TRG;929440;10.191.106.17;10.191.106.18;10.191.106.19
BAŠKA-ŠETNICA;929450;10.191.37.97;10.191.37.98;10.191.37.99
BJELOVAR - SHOPING CENTAR;929460;10.191.0.209;10.191.0.210;10.191.0.211
ZG-ARENA CENTAR-KIOSK;929470;10.191.2.1;10.191.2.2;10.191.2.3
SMOKVICA KOLODVOR;929490;10.199.9.105;10.199.9.106;10.199.9.107
ZG-KAUFLAND-JABLANSKA;929500;10.199.43.97;10.199.43.98;10.199.43.99
ŠIBENIK MLINAR TRŽNICA;929510;10.191.41.113;10.191.41.114;10.191.41.115
ŠIBENIK CROATIA OSIGURANJE;929520;10.191.18.65;10.191.18.66;10.191.18.67
DESIGNER OUTLET CROATIA-IKEA;929550;10.191.110.113;10.191.110.114;10.191.110.115
RI-SRDO?I;929560;10.191.110.1;10.191.110.2;10.191.110.3
ZEMUNIK ZRA?NA LUKA;929570;10.191.110.17;10.191.110.18;10.191.110.19
?A?INCI-ŠKOLA;929580;10.191.110.97;10.191.110.98;10.191.110.99
VIROVITICA - ZABA;929600;10.199.43.89;10.199.43.90;10.199.43.91
NOVIGRAD-OBALA;929610;10.191.110.137;10.191.110.138;10.191.110.139
NJIVICE-PLAŽA;929620;10.191.110.121;10.191.110.122;10.191.110.123
TURANJ-ŠETNICA;929630;10.191.110.145;10.191.110.146;10.191.110.147
ST POLJUD ULTRA III;929640;10.100.112.1;10.100.112.142;10.100.112.143
BIOGRAD BURE CENTAR;929650;10.191.110.152;10.191.110.153;10.191.110.154
VARAŽDIN-HALLEROVA;929670;10.191.110.161;10.191.110.162;10.191.110.163
OTOK-LOKAL TRG;929680;10.191.110.169;10.191.110.170;10.191.110.171
VARAŽDIN-BOŠKOVI?EVA;929690;10.191.110.177;10.191.110.178;10.191.110.179
TISAKMEDIA OSIJEK II;929700;10.99.18.202;10.99.18.203;10.99.18.204
ŠIBENIK-KRVAVICE;929710;10.199.13.209;10.199.13.210;10.199.13.211
VARAŽDIN-BOLNICA PORTA;929720;10.191.110.193;10.191.110.194;10.191.110.195
KUTINA-KOLODVORSKA;929730;10.191.110.209;10.191.110.210;10.191.110.211
OS-DRAVSKI MOST;929740;10.191.110.225;10.191.110.226;10.191.110.227
OS-SJENJAK ŠETNICA;929750;10.191.110.217;10.191.110.218;10.191.110.219
PAKRAC CENTAR-LOKAL;929760;10.191.110.201;10.191.110.202;10.191.110.203
ZADAR-B.BENKOVI?;929770;10.191.110.185;10.191.110.186;10.191.110.187
KARLOVAC-TRŽNICA-PARKIRALIŠTE;929780;10.199.9.169;10.199.9.170;10.199.9.171
KARLOVAC-LUŠ?I? II-AUTOB.STAJA;929790;10.199.9.225;10.199.9.226;10.199.9.227
KARLOVAC-BOLNICA ŠVAR?A;929800;10.199.9.233;10.199.9.234;10.199.9.235
PORE?-TC GALERIJA;929810;10.191.110.241;10.191.110.242;10.191.110.243
PAG CENTAR;929820;10.191.110.233;10.191.110.234;10.191.110.235
POPOVA?A-DOM ZDRAVLJA;929830;10.199.9.201;10.199.9.202;10.199.9.203
MURSKO SREDIŠ?E;929840;10.199.9.209;10.199.9.210;10.199.9.211
VIDOVEC;929850;10.199.31.105;10.199.31.106;10.199.31.107
TISAKplus-RIJEKA-KORZO;929860;10.99.20.202;10.99.20.203;10.99.20.204
ZADAR-K-CENTAR;929870;10.199.31.113;10.199.31.114;10.199.31.115
ZG-ADVENT-ZRINJEVAC;929880;10.199.31.121;10.199.31.122;10.199.31.123
ZG-ADVENT-GRADEC;929890;10.199.31.129;10.199.31.130;10.199.31.131
TISAKplus-LUDBREG;929900;10.99.20.10;10.99.20.11;10.99.20.12
TISAKplus-ZAPREŠI?;929910;10.99.21.10;10.99.21.11;10.99.21.12
?AKOVEC-RADI?EVA;929920;10.199.31.137;10.199.31.138;10.199.31.139
OMIŠ PRIKO II;929930;10.199.31.153;10.199.31.154;10.199.31.155
POSEDARJE RIVA;929940;10.199.31.161;10.199.31.162;10.199.31.163
KUKULJANOVO-IND.ZONA;929950;10.199.31.169;10.199.31.170;10.199.31.171
ZG-TRŽNICA JARUN;929960;10.199.31.177;10.199.31.178;10.199.31.179
KAMP STRAŠKO;929980;10.199.31.185;10.199.31.186;10.199.31.187
ROVINJ-ZAGREBA?KA;929990;10.100.34.56;10.100.34.57;10.100.34.58
ŠIBENIK POLJANA LOKAL;930000;10.199.31.193;10.199.31.194;10.199.31.195
DUBROVNIK-OD PU?A;930010;10.199.31.201;10.199.31.202;10.199.31.203
OS-PORTANOVA-LOKAL;930020;10.199.31.209;10.199.31.210;10.199.31.211
ZG-POINT TISAK-TOBACCO;930030;10.199.32.33;10.199.32.34;10.199.32.35
?AKOVO-NAZOROVA;930040;10.199.31.217;10.199.31.218;10.199.31.219
ZG-TRG LUKE BOTI?A;930050;10.199.31.233;10.199.31.234;10.199.31.235
OBROVAC MOST;930060;10.199.32.17;10.199.32.18;10.199.32.19
PETRINJA-SAJMIŠTE;930070;10.199.31.249;10.199.31.250;10.199.31.251
TISAKplus RAB;930080;10.99.21.74;10.99.21.75;10.99.21.76
VARAŽDIN-BREZJE;930100;10.199.31.225;10.199.31.226;10.199.31.227
TISAKplus ?AKOVEC;930110;10.99.21.193;10.99.21.203;10.99.21.204
PRELOG;930120;10.199.32.9;10.199.32.10;10.199.32.11
NOVIGRAD-C.GRISI;930130;10.199.32.1;10.199.32.2;10.199.32.3
TISAKplus STRADUN;930140;10.99.21.138;10.99.21.139;10.99.21.140
TRIBUNJ;930150;10.199.32.25;10.199.32.26;10.199.32.27
BRODARICA REZALIŠTE;930160;10.191.57.49;10.191.57.50;10.191.57.51
MEDULIN-MARINA;930170;10.199.44.129;10.199.44.130;10.199.44.131
VARAŽDIN-SVEU?ILIŠTE;930180;10.199.32.57;10.199.32.58;10.199.32.59
VARAŽDIN-VILKA NOVAKA;930190;10.199.32.41;10.199.32.42;10.199.32.43
